編號,托育中心,優先收托,一般家庭,總人數,106年7月1日至7月31日期間，年紀屆滿3足歲,106年8月1日至8月31日期間，年紀屆滿3足歲
01,汐止忠厚,8,51,59,0,0
02,三重重新,3,81,84,2,2
03,新莊德明,8,90,98,7,1
04,板橋新板,12,174,186,1,1
05,中和南勢角,21,142,163,3,7
06,新店安康,4,48,52,2,0
07,泰山幼獅,6,84,90,1,2
08,新莊昌平,14,116,130,2,0
09,林口仁愛,5,22,27,3,3
10,三重二重,8,50,58,1,2
11,板橋大觀,7,72,79,1,1
12,土城和平,12,61,73,2,5
13,永和中興,7,102,109,2,2
14,淡水淡海,7,42,49,0,2
15,蘆洲鷺江,2,68,70,0,2
16,蘆洲長安,8,40,48,0,2
17,樹林保安,10,52,62,0,0
18,汐止北峰,6,49,55,0,0
19,鶯歌昌福,8,37,45,4,0
20,新店新和,7,47,54,4,5
21,土城廣福,13,81,94,1,3
22,中和連城,11,97,108,0,1
23,樹林武林,2,33,35,1,0
24,新莊裕民,7,90,97,4,0
25,三峽鳶山,4,25,29,1,0
26,三重台北橋,9,116,125,1,1
27,五股興珍,3,36,39,1,0
28,泰山同榮,4,70,74,2,2
29,中和民享,7,56,63,1,0
30,三峽光明,8,14,22,3,0
31,中和錦和,10,50,60,4,6
32,新店北新,13,100,113,1,5
33,淡水新興,6,63,69,2,1
34,八里下莊,0,15,15,2,2
35,板橋信義,4,64,68,2,0
36,三峽中園,2,12,14,0,1
37,新店青潭,7,33,40,1,2
38,板橋國光,6,82,88,0,2
39,蘆洲成功,4,38,42,0,3
40,三重三光,6,66,72,4,0
41,林口忠孝,5,40,45,0,1
42,新店柴埕,4,41,45,1,1
43,蘆洲集賢,8,65,73,0,1
44,新莊中港,13,91,104,0,0
45,板橋社後,12,142,154,0,0
46,樹林三多,4,22,26,0,0
47,三峽北大,10,83,93,0,0
48,林口麗林,6,31,37,0,0
合計,,351,3084,3435,67,69
