新北市家庭收支調查—依五等分位、依經濟戶長年齡別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,第1等分位組,,,,第2等分位組,,,,第3等分位組,,,,假設「雙薪」、「領全國25~44歲平均薪資」的年輕伴侶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,每月費用,等分位平均,未 滿 30 歲,30 _ 34 歲,35 _ 39 歲,等分位平均,未 滿 30 歲,30 _ 34 歲,35 _ 39 歲,等分位平均,未 滿 30 歲,30 _ 34 歲,35 _ 39 歲,25_44 歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全年可支配所得,,411879," 458,876 "," 483,107 "," 467,185 ",657861," 668,729 "," 663,314 "," 663,462 ",877478," 871,557 "," 878,820 "," 874,497 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020857143
每月可支配所得,," 34,323 "," 38,240 "," 40,259 "," 38,932 "," 54,822 "," 55,727 "," 55,276 "," 55,289 "," 73,123 "," 72,630 "," 73,235 "," 72,875 "," 61,369 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托嬰花費佔平均每月可支配所得,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
私立托嬰中心,17920,52.21%,46.86%,44.51%,46.03%,32.69%,32.16%,32.42%,32.41%,24.51%,24.67%,24.47%,24.59%,29.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公共托育中心,9000,26.22%,23.54%,22.36%,23.12%,16.42%,16.15%,16.28%,16.28%,12.31%,12.39%,12.29%,12.35%,14.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居家托育平均收費,15600,45.45%,40.80%,38.75%,40.07%,28.46%,27.99%,28.22%,28.22%,21.33%,21.48%,21.30%,21.41%,25.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公托合作聯盟補助後,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
私立托嬰中心（地方補助3000+衛福部3000）,11920,34.73%,31.17%,29.61%,30.62%,21.74%,21.39%,21.56%,21.56%,16.30%,16.41%,16.28%,16.36%,19.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公共托嬰中心（衛福部3000）,6000,17.48%,15.69%,14.90%,15.41%,10.94%,10.77%,10.85%,10.85%,8.21%,8.26%,8.19%,8.23%,9.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居家托育平均收費（補助2000+衛福部3000）,10600,30.88%,27.72%,26.33%,27.23%,19.34%,19.02%,19.18%,19.17%,14.50%,14.59%,14.47%,14.55%,17.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料來源：新北市政府主計處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
